Event Time,CSDiD ATT,CSDiD SE,CSDiD ATT (normalized),TWFE Coef,TWFE SE,Difference
-19.0,1.9131519317626946,2.0227704106016464,0.1405773372502801,,,
-18.0,0.26889741080148016,2.0961374765825016,-1.5036771837109344,,,
-17.0,-2.7781966073172435,2.428365597909185,-4.550771201829658,,,
-16.0,-2.3640791756766184,2.2018153149523836,-4.136653770189033,,,
-15.0,-2.6023732230776835,2.048718823272285,-4.3749478175900975,,,
-14.0,1.6679274027248674,2.049044319824458,-0.10464719178754711,,,
-13.0,-5.731418539228894,2.7845306734858366,-7.503993133741309,,,
-12.0,5.613954403149273,6.458213802772417,3.8413798086368582,,,
-11.0,-8.270800192118722,4.577726845015494,-10.043374786631137,,,
-10.0,6.096377354546158,7.884404229721693,4.323802760033743,-2.758690483596229,3.942956361254138,7.082493243629973
-9.0,-6.227835846465347,5.847607695702506,-8.000410440977761,-4.782525705804797,3.7119260729300434,-3.217884735172964
-8.0,4.346582019443363,6.247689438815641,2.5740074249309486,-2.8095135527176573,3.930920660336395,5.383520977648606
-7.0,0.7037714050740028,3.7537982710633715,-1.0688031894384116,-1.160466171916846,4.4218860660526325,0.09166298247843452
-6.0,-0.9786823085910152,6.288348712547615,-2.75125690310343,-0.7862461744508439,2.9834834165686765,-1.9650107286525862
-5.0,-0.8995358731334271,4.708371477421762,-2.6721104676458416,-2.752872131911981,2.640692558629246,0.08076166426613929
-4.0,2.0946707475110755,5.4533797502511145,0.322096152998661,0.2293242810499182,2.4048731207595986,0.09277187194874281
-3.0,-4.487165710636741,5.4380912772373415,-6.259740305149155,-2.3547153727718624,2.9761485796081595,-3.9050249323772923
-2.0,3.895317164947133,4.868770442100562,2.1227425704347187,-0.5341424438798159,2.532843684742654,2.6568850143145344
-1.0,1.7725745945124145,6.619758589581157,0.0,0.0,0.0,0.0
0.0,0.23660639552650634,7.226175970649767,-1.5359681989859082,0.32524447644914,2.716190676796383,-1.8612126754350482
1.0,0.3610491971515474,7.467511994811361,-1.411525397360867,-1.557133792059446,2.938094997898748,0.1456083946985789
2.0,-1.598276366782912,10.019230004193615,-3.370850961295327,-1.6154402706361168,3.8842506638148246,-1.75541069065921
3.0,-1.197975516257348,7.5849343574013695,-2.9705501107697625,-0.6536913771303449,2.8397973375259316,-2.3168587336394175
4.0,-1.9979116629040425,8.618934665647739,-3.770486257416457,-2.8648271226499262,2.8585519533492314,-0.9056591347665308
5.0,-2.55191241471225,8.139043316479505,-4.324487009224665,-2.313530747074994,2.7900142429050785,-2.010956262149671
6.0,-2.8604319375658798,11.148325447907133,-4.633006532078294,-3.221889261610775,3.577155225883407,-1.4111172704675194
7.0,-5.558448751136741,8.848579885625503,-7.331023345649156,-5.0902763994079905,3.442269109728145,-2.240746946241165
8.0,-6.040863769395011,7.9122298639436055,-7.813438363907425,-6.975731201899912,3.121912642117365,-0.8377071620075132
9.0,-1.2901910976487763,8.528374367867738,-3.0627656921611908,-4.844350710579278,3.1266071364615153,1.7815850184180868
10.0,-5.906561291407026,8.197096517683665,-7.67913588591944,-8.339960759506381,3.702194071638264,0.6608248735869413
11.0,-2.358890853155228,9.022221289702552,-4.131465447667642,,,
12.0,-4.50588977904547,7.233801245121245,-6.278464373557885,,,
13.0,-8.624909446353007,12.587674995649426,-10.397484040865422,,,
14.0,-10.886576652526857,14.20123056345477,-12.659151247039272,,,
15.0,-6.669122695922852,8.722186521506226,-8.441697290435267,,,
