event_time,coefficient,std_error,ci_lower,ci_upper,t_stat,p_value
-10,-2.758690483596229,3.942956361254138,-10.48688495165434,4.9695039844618805,-0.6996502702147003,0.4841457401804721
-9,-4.782525705804797,3.7119260729300434,-12.057900808747682,2.4928493971380874,-1.2884215934908603,0.19759924601777845
-8,-2.8095135527176573,3.930920660336395,-10.514118046976991,4.895090941541676,-0.7147215106796962,0.4747811432287916
-7,-1.160466171916846,4.4218860660526325,-9.827362861380006,7.506430517546313,-0.2624369227479398,0.792984609686846
-6,-0.7862461744508439,2.9834834165686765,-6.63387367092545,5.061381322023761,-0.26353294611407985,0.7921398333943934
-5,-2.752872131911981,2.640692558629246,-7.928629546825303,2.4228852830013414,-1.042481118415756,0.2971886750199626
-4,0.22932428104991825,2.4048731207595986,-4.484227035638894,4.942875597738731,0.09535816217093579,0.9240303463423896
-3,-2.3547153727718624,2.9761485796081595,-8.187966588803855,3.4785358432601305,-0.791195503109554,0.42882991523534963
-2,-0.5341424438798159,2.532843684742654,-5.4985160659754175,4.430231178215786,-0.210886462160055,0.8329758682044277
-1,0.0,0.0,0.0,0.0,,
0,0.32524447644914006,2.716190676796383,-4.998489250071771,5.648978202970051,0.11974287343948561,0.9046868365840897
1,-1.557133792059446,2.938094997898748,-7.315799987940992,4.2015324038221005,-0.529980750511154,0.5961252772107037
2,-1.6154402706361168,3.8842506638148246,-9.228571571713173,5.997691030440939,-0.4158949590162522,0.6774868684042565
3,-0.6536913771303449,2.8397973375259316,-6.219694158681171,4.912311404420481,-0.2301894464412201,0.8179445622084043
4,-2.8648271226499262,2.8585519533492314,-8.46758895121442,2.7379347059145673,-1.0021952266053247,0.316249312779354
5,-2.313530747074994,2.7900142429050785,-7.781958663168948,3.15489716901896,-0.8292182568451872,0.4069809159861766
6,-3.221889261610775,3.577155225883407,-10.233113504342253,3.789334981120703,-0.9006847783115433,0.367755944178362
7,-5.0902763994079905,3.442269109728145,-11.837123854475154,1.6565710556591728,-1.478756087088728,0.13920551613454601
8,-6.975731201899912,3.121912642117365,-13.094679980449946,-0.856782423349876,-2.2344415112041007,0.025454036931898072
9,-4.844350710579278,3.1266071364615153,-10.972500698043849,1.2837992768852926,-1.5493953986370637,0.12128669922335034
10,-8.339960759506381,3.702194071638264,-15.596261139917377,-1.0836603790953836,-2.2527076101701633,0.024277590797906035
