Group (g),Time (t),"ATT(g,t)",Std. Error,CI Lower,CI Upper,Significant
1969.0,1965,-3.8813620735617285,5.83453298345355,-15.317046721130687,7.55432257400723,
1969.0,1966,5.558784316567811,9.206753215175079,-12.486451985175341,23.60402061831096,
1969.0,1967,2.044877332799582,5.070273655308703,-7.892859031605474,11.982613697204638,
1969.0,1968,3.0803181143367993,2.674640846465712,-2.161977944735996,8.322614173409594,
1969.0,1969,0.8708618388456445,5.801830031837366,-10.500725023555592,12.242448701246882,
1969.0,1970,-9.57458782196045,8.423843411445658,-26.08532090839394,6.936145264473041,
1969.0,1971,-12.382786865234381,6.890220152395155,-25.887618363928887,1.1220446334601224,
1969.0,1972,-4.231935847889294,3.9192801091281217,-11.913724861780413,3.449853166001825,
1969.0,1973,4.46408446629842,7.734537489900059,-10.695609013905695,19.623777946502535,
1969.0,1974,0.018753051757812843,5.696602389030389,-11.146587630741749,11.184093734257374,
1969.0,1975,0.8621877942766465,5.015915143663175,-8.969005887303176,10.69338147585647,
1969.0,1976,-13.269739786783859,6.999955691125433,-26.989652941389707,0.45017336782198925,
1969.0,1977,-0.050263722737628316,6.202184943769564,-12.206546212525973,12.106018767050715,
1969.0,1978,-5.365762074788411,9.199755930762947,-23.397283699083786,12.665759549506966,
1969.0,1979,-2.040501276652018,1.1255744752855057,-4.24662724821161,0.16562469490757303,
1969.0,1980,-5.795843124389648,6.803998363937695,-19.13167991770753,7.5399936689282345,
1969.0,1981,2.1930065155029297,3.7922393495779994,-5.239782609669949,9.625795640675808,
1969.0,1982,-5.108905792236328,8.745598584629482,-22.250279018110113,12.032467433637457,
1969.0,1983,3.649774551391598,6.826513728868004,-9.730192357189688,17.029741459972882,
1969.0,1984,-6.669122695922852,8.722186521506226,-23.764608278075052,10.426362886229349,
1970.0,1965,1.2634748010074393,4.071753511310546,-6.717162081161231,9.24411168317611,
1970.0,1966,4.682727645425236,2.596115918780717,-0.4056595553849691,9.771114846235442,
1970.0,1967,-2.1086958716897404,3.5520863182183042,-9.070785055397616,4.853393312018136,
1970.0,1968,-4.9760532379150355,8.008449454541763,-20.672614168816892,10.72050769298682,
1970.0,1969,5.929678916931153,4.065301402226894,-2.0383118314335595,13.897669665295865,
1970.0,1970,-0.262689590454102,3.5704121146793804,-7.260697335225688,6.735318154317483,
1970.0,1971,-1.168003158569341,3.1561991161316936,-7.354153426187461,5.018147109048778,
1970.0,1972,-1.0294198122891511,4.534929818011518,-9.917882255591726,7.859042631013424,
1970.0,1973,-9.915349801381424,5.179052664158763,-20.0662930231326,0.23559342036975117,
1970.0,1974,-12.455874972873257,4.819874518789126,-21.902829029699944,-3.00892091604657,***
1970.0,1975,-10.199635914393834,8.218820934512218,-26.30852494603778,5.909253117250113,
1970.0,1976,-17.677392959594727,12.054893586290731,-41.30498438872456,5.950198469535106,
1970.0,1977,-15.773470560709635,7.82621808650545,-31.112858010260318,-0.43408311115895337,***
1970.0,1978,-24.531172434488933,13.905993154754036,-51.786919017806845,2.724574148828978,
1970.0,1979,-22.620265960693363,13.452884278418153,-48.98791914639294,3.747387225006218,
1970.0,1980,-29.81777000427246,14.340955776611688,-57.92604332643137,-1.7094966821135529,***
1970.0,1981,-22.17510414123535,14.185157576482565,-49.97801299114118,5.6278047086704746,
1970.0,1982,-33.854936599731445,11.839886998189101,-57.06111511618208,-10.648758083280807,***
1970.0,1983,-28.77889442443848,19.26556881485599,-66.53940930155622,8.981620452679255,
1970.0,1984,-25.422927856445312,18.887789953892973,-62.44299616607554,11.597140453184913,
1971.0,1965,-4.545898991852555,4.511568263508021,-13.388572788328277,4.296774804623167,
1971.0,1966,-5.684270670848528,3.449359266959114,-12.445014834088393,1.0764734923913357,
1971.0,1967,4.018050940753206,3.9322207905148265,-3.6891018086558542,11.725203690162266,
1971.0,1968,5.883690613243967,3.205126939016571,-0.3983581872285118,12.165739413716446,
1971.0,1969,-4.34916713250377,3.8284680278577548,-11.852964467104968,3.1546302020974286,
1971.0,1970,-0.30203159877232016,5.065262207388913,-10.229945525254589,9.625882327709949,
1971.0,1971,-7.827588348388673,6.306917977260927,-20.189147583820088,4.533970887042743,
1971.0,1972,-10.543318884713312,7.18568784193609,-24.627267054908046,3.5406292854814243,
1971.0,1973,-2.232478527795704,7.218790181811699,-16.381307284146633,11.916350228555226,
1971.0,1974,9.256372542608354,5.663710774592315,-1.8445005755925834,20.35724566080929,
1971.0,1975,7.363154275076729,4.741546151212555,-1.9302761812998792,16.656584731453336,
1971.0,1976,3.5036007109142497,11.95854981784843,-19.935156932068676,26.942358353897173,
1971.0,1977,9.391547702607657,7.877615942261762,-6.048579544225397,24.83167494944071,
1971.0,1978,-0.1366573515392492,7.059071992926398,-13.97243845767499,13.699123754596492,
1971.0,1979,1.984970274425684,4.963713014184052,-7.743907233375058,11.713847782226427,
1971.0,1980,1.2799442836216492,4.435587247113646,-7.413806720721096,9.973695287964395,
1971.0,1981,5.000700814383366,7.853583819998129,-10.392323472812967,20.393725101579697,
1971.0,1982,-2.0069323948451467,4.800546239966954,-11.416003025180377,7.402138235490082,
1971.0,1983,0.3120395115443575,5.438420343228656,-10.347264361183807,10.971343384272522,
1971.0,1984,8.013071877615788,5.263178604690174,-2.302758187576954,18.32890194280853,
1972.0,1965,1.6771732099128498,2.1747861796416768,-2.5854077021848365,5.939754122010536,
1972.0,1966,2.3360309600830065,4.63217600191408,-6.7430340036685905,11.415095923834603,
1972.0,1967,-4.195294582482539,5.6674002315745104,-15.30339903636858,6.912809871403502,
1972.0,1968,8.691637328176789,3.784729512328781,1.2735674840123776,16.1097071723412,***
1972.0,1969,-9.9465455496183,3.456081551425001,-16.720465390411302,-3.172625708825298,***
1972.0,1970,-1.273728644710847,2.301045013018449,-5.783776870227007,3.236319580805314,
1972.0,1971,2.8468233744303384,3.6688763173286194,-4.344174207533756,10.037820956394432,
1972.0,1972,-5.46568997701009,5.838887565573228,-16.909909605533617,5.978529651513437,
1972.0,1973,0.06055911382039421,6.299059179019341,-12.285596877057515,12.406715104698304,
1972.0,1974,1.5740534464518225,6.393870602335085,-10.957932934124944,14.106039827028589,
1972.0,1975,3.6259240649995377,4.908261901955376,-5.994269262832999,13.246117392832074,
1972.0,1976,1.2878557840983071,11.981449749755285,-22.19578572542205,24.771497293618665,
1972.0,1977,8.595382054646812,9.504159193945327,-10.032769965486029,27.223534074779653,
1972.0,1978,-7.599215825398763,6.3750657907543,-20.09434477527719,4.895913124479665,
1972.0,1979,3.1518891652425123,9.9395795962828,-16.329686843471773,22.633465173956797,
1972.0,1980,1.6763305664062527,6.625858272324844,-11.31035164735044,14.663012780162944,
1972.0,1981,12.413887659708662,10.695798128145478,-8.549876671456476,33.3776519908738,
1972.0,1982,-0.004720052083332149,6.281550102038032,-12.316558252077876,12.307118147911211,
1972.0,1983,2.964193979899086,10.395805541226851,-17.41158488090554,23.339972840703712,
1972.0,1984,13.326331456502277,5.017081080832992,3.492852538069613,23.159810374934942,***
1973.0,1965,0.33248301285963877,3.5836865500790425,-6.691542625295285,7.356508651014562,
1973.0,1966,-0.7636000266441939,4.327592019290469,-9.245680384453513,7.718480331165124,
1973.0,1967,0.5470533224252545,7.43862327345298,-14.032648293542586,15.126754938393095,
1973.0,1968,-2.9273370889516968,5.71801687252373,-14.134650159098207,8.279975981194813,
1973.0,1969,3.2272427241007473,4.650805414259771,-5.8883358878484025,12.342821336049898,
1973.0,1970,-4.33874234286222,4.724535610371686,-13.598832139190725,4.921347453466284,
1973.0,1971,1.7283476511637366,6.9204088436334805,-11.835653682357886,15.292348984685358,
