Event Time (e),ATT,Std. Error,CI Lower,CI Upper
-19.0,1.9131519317626946,2.0227704106016464,-2.0514780730165323,5.877781936541922
-18.0,0.26889741080148016,2.0961374765825016,-3.8395320433002227,4.377326864903183
-17.0,-2.7781966073172435,2.428365597909185,-7.537793179219246,1.9813999645847598
-16.0,-2.3640791756766184,2.2018153149523836,-6.67963719298329,1.9514788416300535
-15.0,-2.6023732230776835,2.048718823272285,-6.617862116691362,1.413115670535995
-14.0,1.6679274027248674,2.049044319824458,-2.3481994641310697,5.6840542695808045
-13.0,-5.731418539228894,2.7845306734858366,-11.189098659261134,-0.2737384191966541
-12.0,5.613954403149273,6.458213802772417,-7.044144650284665,18.272053456583212
-11.0,-8.270800192118722,4.577726845015494,-17.24314480834909,0.7015444241116455
-10.0,6.096377354546158,7.884404229721693,-9.35705493570836,21.549809644800675
-9.0,-6.227835846465347,5.847607695702506,-17.68914693004226,5.233475237111565
-8.0,4.346582019443363,6.247689438815641,-7.898889280635292,16.59205331952202
-7.0,0.7037714050740028,3.7537982710633715,-6.653673206210206,8.06121601635821
-6.0,-0.9786823085910152,6.288348712547615,-13.30384578518434,11.34648116800231
-5.0,-0.8995358731334271,4.708371477421762,-10.12794396888008,8.328872222613226
-4.0,2.0946707475110755,5.4533797502511145,-8.593953562981108,12.78329505800326
-3.0,-4.487165710636741,5.4380912772373415,-15.14582461402193,6.171493192748449
-2.0,3.895317164947133,4.868770442100562,-5.647472901569968,13.438107231464235
-1.0,1.7725745945124145,6.619758589581157,-11.202152241066653,14.747301430091483
0.0,0.23660639552650634,7.226175970649767,-13.926698506947037,14.399911298000049
1.0,0.3610491971515474,7.467511994811361,-14.27527431267872,14.997372706981816
2.0,-1.598276366782912,10.019230004193615,-21.235967175002397,18.039414441436573
3.0,-1.197975516257348,7.5849343574013695,-16.064446856764032,13.668495824249336
4.0,-1.9979116629040425,8.618934665647739,-18.891023607573608,14.895200281765524
5.0,-2.55191241471225,8.139043316479505,-18.50443731501208,13.40061248558758
6.0,-2.8604319375658798,11.148325447907133,-24.711149815463862,18.9902859403321
7.0,-5.558448751136741,8.848579885625503,-22.901665326962725,11.784767824689244
8.0,-6.040863769395011,7.9122298639436055,-21.548834302724476,9.467106763934456
9.0,-1.2901910976487763,8.528374367867738,-18.005804858669542,15.42542266337199
10.0,-5.906561291407026,8.197096517683665,-21.97287046606701,10.159747883252958
11.0,-2.358890853155228,9.022221289702552,-20.042444580972226,15.324662874661772
12.0,-4.50588977904547,7.233801245121245,-18.684140219483112,9.67236066139217
13.0,-8.624909446353007,12.587674995649426,-33.29675243782588,16.04693354511987
14.0,-10.886576652526857,14.20123056345477,-38.720988556898206,16.947835251844488
15.0,-6.669122695922852,8.722186521506226,-23.764608278075052,10.426362886229349
