Group (g),ATT,Std. Error,CI Lower,CI Upper
1969.0,-3.2769237994076135,6.699345646317031,-16.407641266188993,9.853793667373766
1970.0,-17.045527212771386,11.595344156581973,-39.77240175967205,5.681347334129281
1971.0,1.6684590346796964,6.757486581215373,-11.576214664502434,14.913132733861826
1972.0,2.7389831874833446,8.053036215513728,-13.044967794923561,18.522934169890252
1973.0,11.829834143699165,7.8477177944669165,-3.551692733455992,27.21136102085432
1974.0,-6.876457748302996,5.790728211642226,-18.22628504312176,4.473369546515767
1975.0,-3.45928659439087,6.69943940487304,-16.590187827942028,9.671614639160289
1976.0,-2.430674517596209,3.5139278049434717,-9.317973015285412,4.456623980092996
1977.0,-4.666899681091309,19.15550454827628,-42.211688595712815,32.8778892335302
1980.0,-8.656535339355468,2.7253461348221477,-13.998213763606877,-3.314856915104059
1984.0,2.5200729370117045,0.0,2.5200729370117045,2.5200729370117045
