"year","att","se","ci_lower","ci_upper"
1969,0.870861838845648,6.57948515578943,-12.0249290665016,13.7666527441929
1970,-4.91863870620728,6.05891134931817,-16.7941049508709,6.95682753845633
1971,-7.44497258966619,4.51919055399481,-16.302586075496,1.41264089616363
1972,-7.19450096031288,4.45592609666045,-15.9281161097674,1.5391141891416
1973,4.51169208685557,4.27671789221487,-3.87067498188557,12.8940591555967
1974,4.72918659571267,4.83801784016936,-4.75332837101928,14.2117015624446
1975,8.64614649241781,4.67023196728361,-0.507508163458059,17.7998011482937
1976,3.15832909478081,9.00625234406847,-14.4939254995934,20.810583689155
1977,6.75180903348056,6.35280688602456,-5.69969246312758,19.2033105300887
1978,-2.71590498721961,3.34090525038349,-9.26407927797124,3.83226930353203
1979,1.88869065949411,5.34856774887336,-8.59450212829768,12.3718834472859
1980,-1.03442834405338,3.13947479390165,-7.18779894010062,5.11894225199386
1981,4.46938551173491,6.29207178963812,-7.86307519595581,16.8018462194256
1982,-5.17397131639368,3.00133015886352,-11.0565784277662,0.708635794978826
1983,-1.41801449831795,5.62570931386885,-12.4444047535009,9.60837575686499
1984,3.82428763253348,3.44943483452171,-2.93660464312907,10.585179908196
