"group","att","se","ci_lower","ci_upper"
1969,-3.27692379940761,6.09485267596576,-15.2228350443005,8.66898744548529
1970,-17.0455272127714,9.21188452249635,-35.1008208768642,1.00976645132145
1971,1.6684590346797,4.61951814261708,-7.38579652484977,10.7227145942092
1972,2.73898318748334,6.58283541979941,-10.1633742353235,15.6413406102902
1973,11.8298341436992,5.87375618502128,0.317272021057448,23.3423962663409
1974,-6.876457748303,3.7499307453782,-14.2263220092443,0.473406512638283
1975,-3.45928659439087,3.27409859435978,-9.87651983933604,2.95794665055431
1976,-2.43067451759621,1.52299676848594,-5.41574818382865,0.554399148636239
1977,-4.66689968109131,33.0223723332904,-69.3907494543406,60.056950092158
1980,-8.65653533935547,3.01820210473944,-14.5722114646448,-2.74085921406617
1984,2.5200729370117,NA,NA,NA
