"group","time","att","se","ci_lower","ci_upper"
1969,1965,-3.88136207356172,6.01491189241735,-15.6705893826997,7.90786523557629
1969,1966,5.55878431656781,8.99768521318249,-12.0766787012699,23.1942473344055
1969,1967,2.04487733279958,5.40058274249014,-8.54026484248109,12.6300195080802
1969,1968,3.0803181143368,2.83576360028191,-2.47777854221574,8.63841477088934
1969,1969,0.870861838845648,5.80249163112667,-10.5020217581626,12.2437454358539
1969,1970,-9.57458782196045,8.31813794700595,-25.8781381980921,6.72896255417122
1969,1971,-12.3827868652344,7.17747350586773,-26.4506349367351,1.68506120626637
1969,1972,-4.23193584788929,4.1010968689736,-12.2700857110775,3.80621401529895
1969,1973,4.46408446629842,8.03405552673137,-11.2826643660951,20.2108332986919
1969,1974,0.0187530517578121,6.16829331544748,-12.0711018465192,12.1086079500349
1969,1975,0.862187794276646,5.25566705154687,-9.43891962675521,11.1632952153085
1969,1976,-13.2697397867839,8.0502741081752,-29.0482770388072,2.50879746523954
1969,1977,-0.050263722737629,6.31463729911724,-12.4269528290074,12.3264253835322
1969,1978,-5.36576207478841,8.96018702177957,-22.9277286374764,12.1962044878995
1969,1979,-2.04050127665202,1.20288397907971,-4.39815387564826,0.317151322344221
1969,1980,-5.79584312438965,6.75027867078848,-19.0263893191351,7.43470307035578
1969,1981,2.19300651550293,3.91972887233412,-5.48966207427195,9.87567510527781
1969,1982,-5.10890579223633,9.96558570028948,-24.6414537648037,14.4236421803311
1969,1983,3.6497745513916,6.93168173497251,-9.93632164915452,17.2358707519377
1969,1984,-6.66912269592285,9.01608067974975,-24.3406408282324,11.0023954363867
1970,1965,1.26347480100744,4.13604840847608,-6.84318007960567,9.37012968162055
1970,1966,4.68272764542524,2.67181294026982,-0.554025717503608,9.91948100835409
1970,1967,-2.10869587168974,3.4406229450255,-8.85231684393972,4.63492510056024
1970,1968,-4.97605323791504,8.24567311946357,-21.1375725520636,11.1854660762336
1970,1969,5.92967891693115,4.24755171217287,-2.39552243892768,14.25488027279
1970,1970,-0.262689590454103,3.68877428680244,-7.49268719258688,6.96730801167868
1970,1971,-1.16800315856934,3.42003147228,-7.87126484423814,5.53525852709947
1970,1972,-1.02941981228915,4.5203827308524,-9.88936996475985,7.83053034018155
1970,1973,-9.91534980138143,5.30640767852472,-20.3159088512899,0.485209248527024
1970,1974,-12.4558749728733,5.33828780943481,-22.9189190793655,-1.99283086638103
1970,1975,-10.1996359143938,7.95112467544923,-25.7838402782743,5.38456844948665
1970,1976,-17.6773929595947,12.9990909402631,-43.1556112025104,7.80082528332098
1970,1977,-15.7734705607096,8.79029420621855,-33.002447204898,1.45550608347872
1970,1978,-24.5311724344889,14.234333570414,-52.4304662325003,3.36812136352243
1970,1979,-22.6202659606934,13.3109351624254,-48.7096988790472,3.46916695766049
1970,1980,-29.8177700042725,14.2231961252739,-57.6952344098093,-1.94030559873559
1970,1981,-22.1751041412353,14.5335981493858,-50.6609565140316,6.3107482315609
1970,1982,-33.8549365997314,11.8678717932148,-57.1159653144324,-10.5939078850305
1970,1983,-28.7788944244385,19.9034203994664,-67.7895984073926,10.2318095585157
1970,1984,-25.4229278564453,19.5242142169941,-63.6903877217537,12.8445320088631
