"event_time","att","se","ci_lower","ci_upper"
-19,1.91315193176269,1.91504697637714,-1.8403401419365,5.66664400546189
-18,0.26889741080148,2.138426224183,-3.92241798859719,4.46021281020015
-17,-2.77819660731725,2.46515050103723,-7.60989158935021,2.05349837471572
-16,-2.36407917567662,2.20911027933398,-6.69393532317121,1.96577697181797
-15,-2.60237322307768,3.04656061704256,-8.57363203248111,3.36888558632574
-14,1.66792740272487,1.63543812361003,-1.53753131955078,4.87338612500052
-13,-5.7314185392289,4.77511807931704,-15.0906499746903,3.6278128962325
-12,6.16812376179219,7.00836654784777,-7.56827467198944,19.9045221955738
-11,-9.66714485658367,5.39808818939942,-20.2473977078065,0.913107994639189
-10,9.09720672440875,6.29111236842635,-3.23337351770689,21.4277869665244
-9,-7.43549991237827,4.70768125874756,-16.6625551795235,1.79155535476695
-8,3.34304535737292,2.78403651279985,-2.11366620771478,8.79975692246062
-7,0.318094336171755,2.16477202857542,-3.92485883983607,4.56104751217958
-6,-1.23945270542108,3.29290170197319,-7.69354004128853,5.21463463044637
-5,-2.18880933232718,2.23351003980674,-6.56648901034839,2.18887034569402
-4,3.31850447992793,1.80191744301719,-0.213253708385765,6.85026266824163
-3,-3.72039097215605,2.64563116328133,-8.90582805218745,1.46504610787535
-2,1.79621689096786,2.98605730465537,-4.05645542615667,7.64888920809238
-1,-0.10560355598233,2.81905947290906,-5.63096012288408,5.41975301091942
0,2.03075875837395,3.20158877130379,-4.24435523338148,8.30587275012939
1,-0.204365687356943,3.19788021252078,-6.47221090389768,6.06347952918379
2,3.52365924300691,4.60059429563035,-5.49350557642858,12.5408240624424
3,3.74984047823897,4.73434499090438,-5.52947570393361,13.0291566604116
4,3.17881170596952,4.61235338051354,-5.86140091983701,12.2190243317761
5,0.962396192344237,4.71893575865028,-8.28671789461032,10.2115102792988
6,2.67900220862715,5.48057891308,-8.06293246100964,13.4209368782639
7,-0.419421745069098,3.93010417626075,-8.12242593054017,7.28358244040197
8,1.56192777421739,4.88304827020703,-8.00884683538838,11.1327023838232
9,1.09955384265417,3.56924511916028,-5.89616659089998,8.09527427620833
10,-0.111597320179881,5.3257682536275,-10.5501030972898,10.32690845693
11,3.79560311635335,3.82539160294571,-3.70216442542024,11.293370658127
12,-1.51147065843855,5.26910435243143,-11.8389151892041,8.81597387232705
13,-1.06219066273082,7.57802879101279,-15.9151270931159,13.7907457676542
14,-10.8865766525269,15.1500137444736,-40.580603591695,18.8074502866413
15,-6.66912269592285,9.01608067974975,-24.3406408282324,11.0023954363867
