"event_time","CSDiD_ATT","CSDiD_SE","TWFE_Coef","TWFE_SE","Difference"
-19,1.91315193176269,1.91504697637714,NA,NA,NA
-18,0.26889741080148,2.138426224183,NA,NA,NA
-17,-2.77819660731725,2.46515050103723,NA,NA,NA
-16,-2.36407917567662,2.20911027933398,NA,NA,NA
-15,-2.60237322307768,3.04656061704256,NA,NA,NA
-14,1.66792740272487,1.63543812361003,NA,NA,NA
-13,-5.7314185392289,4.77511807931704,NA,NA,NA
-12,6.16812376179219,7.00836654784777,NA,NA,NA
-11,-9.66714485658367,5.39808818939942,NA,NA,NA
-10,9.09720672440875,6.29111236842635,-6.14879097295464,7.71884293624,15.2459976973634
-9,-7.43549991237827,4.70768125874756,-7.31802209691792,6.11581671705255,-0.117477815460349
-8,3.34304535737292,2.78403651279985,-4.43076432353994,5.95758254895203,7.77380968091286
-7,0.318094336171755,2.16477202857542,-2.7088914095895,5.81936168222754,3.02698574576125
-6,-1.23945270542108,3.29290170197319,-2.13678534568897,4.51397369694791,0.897332640267888
-5,-2.18880933232718,2.23351003980674,-3.7880889344372,3.54517497941998,1.59927960211002
-4,3.31850447992793,1.80191744301719,-0.61933277507523,2.84065197809605,3.93783725500316
-3,-3.72039097215605,2.64563116328133,-3.13964330270526,2.97557921778526,-0.580747669450794
-2,1.79621689096786,2.98605730465537,-0.654567774239018,2.44491589811721,2.45078466520687
-1,-0.10560355598233,2.81905947290906,0,0,-0.10560355598233
0,2.03075875837395,3.20158877130379,1.20987778204457,2.80317416458736,0.820880976329385
1,-0.204365687356943,3.19788021252078,-0.312555120578406,3.44838383559561,0.108189433221463
2,3.52365924300691,4.60059429563035,0.765939941380724,4.65840665410147,2.75771930162619
3,3.74984047823897,4.73434499090438,1.89305308775363,3.56739484267732,1.85678739048534
4,3.17881170596952,4.61235338051354,0.501207946880381,4.10254481690285,2.67760375908914
5,0.962396192344237,4.71893575865028,1.56010701561379,4.41693986643658,-0.597710823269553
6,2.67900220862715,5.48057891308,1.03102244468736,5.12757056271949,1.64797976393979
7,-0.419421745069098,3.93010417626075,-0.143676052344053,5.41605775701177,-0.275745692725045
8,1.56192777421739,4.88304827020703,-2.13789901122495,5.16432853855512,3.69982678544234
9,1.09955384265417,3.56924511916028,-0.327293373302735,5.18555315141917,1.42684721595691
10,-0.111597320179881,5.3257682536275,-3.40906752300842,5.93251225883594,3.29747020282854
11,3.79560311635335,3.82539160294571,NA,NA,NA
12,-1.51147065843855,5.26910435243143,NA,NA,NA
13,-1.06219066273082,7.57802879101279,NA,NA,NA
14,-10.8865766525269,15.1500137444736,NA,NA,NA
15,-6.66912269592285,9.01608067974975,NA,NA,NA
